PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
My4oN,8/p2k1p2/1p1q2p1/3P2Pr/2P2P2/1P1P2K1/P5Q1/2R5 w - - 9 49,c1h1 h5g5 g3f3 g5g2,1341,67,77,207879,crushing endgame pin short skewer,https://lichess.org/x7lklhVC#97,
fVzZN,r5r1/5p1p/1pp1k2b/3ppb2/P7/1N3PP1/1PP2N1P/3RR1K1 b - - 1 21,f5c2 b3d4 e6d6 d4c2,1329,81,77,203143,advantage fork middlegame pin short,https://lichess.org/3RBNFyN9/black#42,
ZXVLG,3r4/R1Bnkppp/2B2b2/2Pp4/3P4/2n2P2/6PP/5K2 b - - 8 27,d8c8 c7d6 e7e8 c6d7,1023,145,79,192350,crushing fork middlegame short,https://lichess.org/kzPKqk7D/black#54,
x3buk,r4rk1/p5pp/1pn1q3/1Q3b2/P7/5N2/1R2BKPP/1R6 b - - 5 26,f5b1 e2c4 g8h8 c4e6,1339,80,65,190432,advantage middlegame pin short,https://lichess.org/yWBSxcOZ/black#52,
09Uwe,r1bqkb1r/pp1n1ppp/4p3/3pP3/2B5/5N2/PPP2PPP/R1BQK2R w KQkq - 0 9,c4b5 d8a5 e1f1 a5b5,1249,89,74,183532,crushing fork opening short,https://lichess.org/hIMPC9f8#17,Rat_Defense Rat_Defense_Antal_Defense
01OKt,r2q1r2/pp1k4/2p4Q/3pn3/8/2P3PP/PP1N4/2KR1R2 w - - 2 28,f1e1 e5d3 c1c2 d3e1,1052,93,64,182031,advantage fork middlegame short,https://lichess.org/0UAYPkWO#55,
07KU3,8/1r1k2p1/p1R2p1p/1p1P4/1Pb5/P5BP/5PP1/6K1 b - - 2 36,c4d5 c6d6 d7e7 d6d5,1202,98,74,181032,crushing endgame fork short,https://lichess.org/JS7BRLUW/black#72,
04BH8,2r3k1/pp2npp1/3r2qp/8/2BBp3/1PP3Rb/P4P2/R2Q3K b - - 0 28,g6f5 g3g7 g8f8 g7f7 f5f7 c4f7,1395,86,79,172907,crushing fork long middlegame,https://lichess.org/G4dmqMvs/black#56,
FjK5u,8/p4kpp/5p2/2Qb4/3P4/P3q2P/P5P1/1R4K1 w - - 2 32,g1h1 e3h3 h1g1 h3g2,1360,79,90,143651,endgame mate mateIn2 pin short,https://lichess.org/6lLWHJDc#63,
9OVqg,8/2P5/8/2r5/p1k2R2/8/4K3/8 b - - 1 56,c4b5 f4f5 c5f5 c7c8q,1188,72,88,64934,advancedPawn crushing deflection endgame pin promotion rookEndgame short,https://lichess.org/rKMw7hxE/black#112,
sKqfg,r1b1k1nr/1ppp1ppp/1b3qn1/pP6/P7/2N1P1Q1/2P2PPP/R1B1KBNR w KQkq - 1 11,e3e4 b6f2 g3f2 f6c3 f2d2 c3a1,1368,75,95,36558,attackingF2F7 crushing deflection fork long opening,https://lichess.org/0DESJAFp#21,Englund_Gambit Englund_Gambit_Other_variations
3GC3X,r2qk2r/pp2bppp/2p3b1/3nR3/2B3P1/3P3P/PPP2P2/RNBQ2K1 w kq - 0 12,c1g5 f7f6 e5d5 c6d5,1351,74,95,35408,advantage fork middlegame short,https://lichess.org/0VY4SMtr#23,Italian_Game Italian_Game_Two_Knights_Defense
fpTQv,r7/1p4qk/p3P1p1/2p3Q1/P2p1R2/5b2/1PP4P/6K1 b - - 2 34,f3h5 f4f7 g7f7 e6f7,1263,75,94,35171,advancedPawn advantage endgame pin short,https://lichess.org/8yglFeFz/black#68,
4CUW8,rn1qk2r/pp4pp/2pbQn2/8/8/2N5/PPPP1PPP/R1B1R1K1 b kq - 0 11,d8e7 e6c8 e8f7 e1e7,1376,76,95,34588,crushing discoveredAttack opening pin short,https://lichess.org/LKT3x3M9/black#22,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
G0eP2,r1bqk2r/b1p1npp1/p1np3p/1p1B4/1P1PP3/P4N1P/2Q2PP1/RNB2RK1 b kq - 3 13,e7d5 c2c6 c8d7 c6d5,1324,78,96,34534,advantage fork hangingPiece opening short,https://lichess.org/cwSODCEW/black#26,Italian_Game Italian_Game_Giuoco_Pianissimo
feCiZ,r2q1k1r/3nbppp/4pn2/1p1p4/p7/P1NP4/BPP2PPP/R1BQK2R w KQ - 0 14,c3b5 d8a5 b5c3 d5d4 c1d2 d4c3,1399,74,96,34177,advantage fork long opening,https://lichess.org/M5KBXwju#27,Pirc_Defense Pirc_Defense_Other_variations
T0SVs,rnbq1rk1/ppp3bp/5np1/3Pp1B1/4N3/5N1P/PPP3P1/R2QKB1R b KQ - 2 12,d8d5 e4f6 g7f6 d1d5,1366,78,95,33969,crushing fork intermezzo opening short,https://lichess.org/kFcQwG2r/black#24,Pirc_Defense Pirc_Defense_Austrian_Attack
bNntY,r4rk1/4pq1p/p2p2pB/1ppP2p1/2P1BP2/1P2P3/P6P/Q3K2R w K - 0 23,f4g5 f7f2 e1d1 f2f1 h1f1 f8f1 d1c2 f1a1,1372,77,96,33747,crushing exposedKing middlegame sacrifice skewer veryLong,https://lichess.org/w2ScSchX#45,
7BTD7,6k1/6p1/2b1p2p/4Pp2/2B1p3/1P2q3/P5PP/5Q1K b - - 5 35,g8f7 f1f5 f7e7 f5e6,1378,79,96,33329,advantage endgame pin short,https://lichess.org/4iYpB5Ub/black#70,
9KFFQ,r1bqrbk1/pp1n1ppp/2pp1n2/5N2/4PP2/2NB2Q1/PPP3PP/R1B2RK1 b - - 6 11,d7c5 f5h6 g8h8 h6f7,1280,74,97,33277,crushing deflection kingsideAttack opening pin short,https://lichess.org/5ATk7Mbt/black#22,Russian_Game Russian_Game_Three_Knights_Game
bULn0,1r2kq1r/2pb1p1p/4p1p1/p2p4/p2P1Q2/2PB1R2/2P2PPP/4R1K1 b k - 5 25,f8d6 f4f7 e8d8 f7f6 d6e7 f6h8,1357,73,95,33254,attackingF2F7 crushing fork long middlegame,https://lichess.org/uixuXnk6/black#50,
Llpip,r1b1kb1r/pp1p1ppp/5n2/q2Pn3/8/P1N5/1P3PPP/R1BQKBNR w KQkq - 1 9,b2b4 f8b4 a3b4 a5a1,1331,73,96,33250,advantage opening pin short,https://lichess.org/Igtt7DMt#17,Sicilian_Defense Sicilian_Defense_Alapin_Variation
lOwJn,r4rk1/ppp2ppp/3bbq2/1B2p3/1n1PP3/1PB2N1P/P3QPP1/R3K2R b KQ - 0 14,c7c6 d4e5 d6e5 c3e5,1324,76,95,33229,advantage fork middlegame short,https://lichess.org/yuW4QVMU/black#28,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation
1WcNx,r1b1kbnr/p2p1ppp/1pp2q2/4p3/2B1P3/2P1Q3/PP1P1PPP/RNB2RK1 w kq - 0 8,f2f4 f8c5 d2d4 e5d4 e3g3 d4c3,1338,73,95,33092,advantage discoveredAttack long opening pin,https://lichess.org/5huzIoOM#15,Italian_Game Italian_Game_Blackburne-Kostic_Gambit
wtnn7,5rk1/1p4pp/p3p3/5n2/1P3N2/P2P4/6PP/4R1K1 w - - 0 33,e1e6 f5d4 e6e4 f8f4 e4f4 d4e2 g1f2 e2f4,1342,73,95,33034,advantage attraction discoveredAttack endgame fork sacrifice veryLong,https://lichess.org/CCMFe8oT#65,
rVOfr,r2qk2r/pp1bppQp/3p1np1/2p1n1N1/2B1P3/3P4/PPP2PPP/RN2K2R b KQkq - 4 10,h8g8 c4f7 e5f7 g7f7,1332,73,96,33030,attackingF2F7 fork mate mateIn2 opening short,https://lichess.org/n4c0TF9z/black#20,Sicilian_Defense Sicilian_Defense_Modern_Variations
