PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
fVzZN,r5r1/5p1p/1pp1k2b/3ppb2/P7/1N3PP1/1PP2N1P/3RR1K1 b - - 1 21,f5c2 b3d4 e6d6 d4c2,1329,81,77,203143,advantage fork middlegame pin short,https://lichess.org/3RBNFyN9/black#42,
ZXVLG,3r4/R1Bnkppp/2B2b2/2Pp4/3P4/2n2P2/6PP/5K2 b - - 8 27,d8c8 c7d6 e7e8 c6d7,1023,145,79,192350,crushing fork middlegame short,https://lichess.org/kzPKqk7D/black#54,
09Uwe,r1bqkb1r/pp1n1ppp/4p3/3pP3/2B5/5N2/PPP2PPP/R1BQK2R w KQkq - 0 9,c4b5 d8a5 e1f1 a5b5,1249,89,74,183532,crushing fork opening short,https://lichess.org/hIMPC9f8#17,Rat_Defense Rat_Defense_Antal_Defense
01OKt,r2q1r2/pp1k4/2p4Q/3pn3/8/2P3PP/PP1N4/2KR1R2 w - - 2 28,f1e1 e5d3 c1c2 d3e1,1052,93,64,182031,advantage fork middlegame short,https://lichess.org/0UAYPkWO#55,
07KU3,8/1r1k2p1/p1R2p1p/1p1P4/1Pb5/P5BP/5PP1/6K1 b - - 2 36,c4d5 c6d6 d7e7 d6d5,1202,98,74,181032,crushing endgame fork short,https://lichess.org/JS7BRLUW/black#72,
04BH8,2r3k1/pp2npp1/3r2qp/8/2BBp3/1PP3Rb/P4P2/R2Q3K b - - 0 28,g6f5 g3g7 g8f8 g7f7 f5f7 c4f7,1395,86,79,172907,crushing fork long middlegame,https://lichess.org/G4dmqMvs/black#56,
sKqfg,r1b1k1nr/1ppp1ppp/1b3qn1/pP6/P7/2N1P1Q1/2P2PPP/R1B1KBNR w KQkq - 1 11,e3e4 b6f2 g3f2 f6c3 f2d2 c3a1,1368,75,95,36558,attackingF2F7 crushing deflection fork long opening,https://lichess.org/0DESJAFp#21,Englund_Gambit Englund_Gambit_Other_variations
3GC3X,r2qk2r/pp2bppp/2p3b1/3nR3/2B3P1/3P3P/PPP2P2/RNBQ2K1 w kq - 0 12,c1g5 f7f6 e5d5 c6d5,1351,74,95,35408,advantage fork middlegame short,https://lichess.org/0VY4SMtr#23,Italian_Game Italian_Game_Two_Knights_Defense
G0eP2,r1bqk2r/b1p1npp1/p1np3p/1p1B4/1P1PP3/P4N1P/2Q2PP1/RNB2RK1 b kq - 3 13,e7d5 c2c6 c8d7 c6d5,1324,78,96,34534,advantage fork hangingPiece opening short,https://lichess.org/cwSODCEW/black#26,Italian_Game Italian_Game_Giuoco_Pianissimo
feCiZ,r2q1k1r/3nbppp/4pn2/1p1p4/p7/P1NP4/BPP2PPP/R1BQK2R w KQ - 0 14,c3b5 d8a5 b5c3 d5d4 c1d2 d4c3,1399,74,96,34177,advantage fork long opening,https://lichess.org/M5KBXwju#27,Pirc_Defense Pirc_Defense_Other_variations
T0SVs,rnbq1rk1/ppp3bp/5np1/3Pp1B1/4N3/5N1P/PPP3P1/R2QKB1R b KQ - 2 12,d8d5 e4f6 g7f6 d1d5,1366,78,95,33969,crushing fork intermezzo opening short,https://lichess.org/kFcQwG2r/black#24,Pirc_Defense Pirc_Defense_Austrian_Attack
bULn0,1r2kq1r/2pb1p1p/4p1p1/p2p4/p2P1Q2/2PB1R2/2P2PPP/4R1K1 b k - 5 25,f8d6 f4f7 e8d8 f7f6 d6e7 f6h8,1357,73,95,33254,attackingF2F7 crushing fork long middlegame,https://lichess.org/uixuXnk6/black#50,
lOwJn,r4rk1/ppp2ppp/3bbq2/1B2p3/1n1PP3/1PB2N1P/P3QPP1/R3K2R b KQ - 0 14,c7c6 d4e5 d6e5 c3e5,1324,76,95,33229,advantage fork middlegame short,https://lichess.org/yuW4QVMU/black#28,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation
wtnn7,5rk1/1p4pp/p3p3/5n2/1P3N2/P2P4/6PP/4R1K1 w - - 0 33,e1e6 f5d4 e6e4 f8f4 e4f4 d4e2 g1f2 e2f4,1342,73,95,33034,advantage attraction discoveredAttack endgame fork sacrifice veryLong,https://lichess.org/CCMFe8oT#65,
rVOfr,r2qk2r/pp1bppQp/3p1np1/2p1n1N1/2B1P3/3P4/PPP2PPP/RN2K2R b KQkq - 4 10,h8g8 c4f7 e5f7 g7f7,1332,73,96,33030,attackingF2F7 fork mate mateIn2 opening short,https://lichess.org/n4c0TF9z/black#20,Sicilian_Defense Sicilian_Defense_Modern_Variations
